miRNA,lncRNA
hsa-miR-411-5p,INTS6-AS1
hsa-miR-4262,INTS6-AS1
hsa-miR-125a-3p,MIR4500HG
hsa-miR-186-5p,MIR4500HG
hsa-miR-421,MIR4500HG
hsa-miR-130a-3p,MIR17HG
hsa-miR-130b-3p,MIR17HG
hsa-miR-144-3p,MIR17HG
hsa-miR-153-3p,MIR17HG
hsa-miR-155-5p,MIR17HG
hsa-miR-223-3p,MIR17HG
hsa-miR-301a-3p,MIR17HG
hsa-miR-302a-3p,MIR17HG
hsa-miR-302b-3p,MIR17HG
hsa-miR-302c-3p,MIR17HG
hsa-miR-302d-3p,MIR17HG
hsa-miR-302e,MIR17HG
hsa-miR-372-3p,MIR17HG
hsa-miR-373-3p,MIR17HG
hsa-miR-377-3p,MIR17HG
hsa-miR-421,MIR17HG
hsa-miR-4295,MIR17HG
hsa-miR-454-3p,MIR17HG
hsa-miR-520a-3p,MIR17HG
hsa-miR-520c-3p,MIR17HG
hsa-miR-520d-3p,MIR17HG
hsa-miR-590-3p,MIR17HG
hsa-miR-144-3p,DNAJC3-DT
hsa-miR-27a-3p,DNAJC3-DT
hsa-miR-27b-3p,DNAJC3-DT
hsa-miR-485-5p,COL4A2-AS2
hsa-miR-485-5p,LINC01070
hsa-miR-383-5p,RASA3-IT1
hsa-miR-153-3p,LINC00641
