lncRNA,miRNA
KCNQ1OT1,hsa-miR-3619-5p
KCNQ1OT1,hsa-miR-362-3p
KCNQ1OT1,hsa-miR-3666
KCNQ1OT1,hsa-miR-370-3p
KCNQ1OT1,hsa-miR-376c-3p
KCNQ1OT1,hsa-miR-377-3p
KCNQ1OT1,hsa-miR-383-5p
KCNQ1OT1,hsa-miR-384
KCNQ1OT1,hsa-miR-421
KCNQ1OT1,hsa-miR-425-5p
KCNQ1OT1,hsa-miR-4295
KCNQ1OT1,hsa-miR-4319
KCNQ1OT1,hsa-miR-4458
KCNQ1OT1,hsa-miR-449a
KCNQ1OT1,hsa-miR-449b-5p
KCNQ1OT1,hsa-miR-4500
KCNQ1OT1,hsa-miR-454-3p
KCNQ1OT1,hsa-miR-455-5p
KCNQ1OT1,hsa-miR-4725-5p
KCNQ1OT1,hsa-miR-4735-3p
KCNQ1OT1,hsa-miR-486-5p
KCNQ1OT1,hsa-miR-490-3p
KCNQ1OT1,hsa-miR-491-5p
KCNQ1OT1,hsa-miR-499a-5p
KCNQ1OT1,hsa-miR-504-5p
KCNQ1OT1,hsa-miR-506-3p
KCNQ1OT1,hsa-miR-7-5p
KCNQ1OT1,hsa-miR-761
KCNQ1OT1,hsa-miR-874-3p
KCNQ1OT1,hsa-miR-876-5p
KCNQ1OT1,hsa-miR-98-5p
SBF2-AS1,hsa-miR-140-5p
SBF2-AS1,hsa-miR-329-3p
SBF2-AS1,hsa-miR-338-3p
SBF2-AS1,hsa-miR-362-3p
LINC00958,hsa-miR-185-5p
LINC00958,hsa-miR-214-3p
LINC00958,hsa-miR-3619-5p
LINC00958,hsa-miR-4306
LINC00958,hsa-miR-4644
LINC00958,hsa-miR-490-3p
LINC00958,hsa-miR-761
SNHG1,hsa-miR-101-3p
SNHG1,hsa-miR-140-5p
SNHG1,hsa-miR-145-5p
SNHG1,hsa-miR-154-5p
SNHG1,hsa-miR-15a-5p
SNHG1,hsa-miR-15b-5p
SNHG1,hsa-miR-16-5p
SNHG1,hsa-miR-182-5p
SNHG1,hsa-miR-18a-5p
SNHG1,hsa-miR-18b-5p
SNHG1,hsa-miR-195-5p
SNHG1,hsa-miR-21-5p
SNHG1,hsa-miR-216b-5p
SNHG1,hsa-miR-326
SNHG1,hsa-miR-328-3p
SNHG1,hsa-miR-330-5p
SNHG1,hsa-miR-376a-3p
SNHG1,hsa-miR-376b-3p
SNHG1,hsa-miR-377-3p
SNHG1,hsa-miR-383-5p
SNHG1,hsa-miR-421
SNHG1,hsa-miR-424-5p
SNHG1,hsa-miR-4735-3p
SNHG1,hsa-miR-497-5p
SNHG1,hsa-miR-590-3p
SNHG1,hsa-miR-590-5p
NEAT1,hsa-let-7a-5p
NEAT1,hsa-let-7b-5p
NEAT1,hsa-let-7c-5p
NEAT1,hsa-let-7d-5p
NEAT1,hsa-let-7e-5p
NEAT1,hsa-let-7f-5p
